GLOSS ID	LIST ID	ENGLISH	RON_B	SHG	SKB	KHP	KMG	CHO	PSK
Backstrom-1992-210b-19	Balti-19	skin	bʌxspʌ	bɑxspʌ	bʌkspɑ / bʌxpʌ	bɑxpɑ/ bʌkspʌ	bʌxspʌ	bʌkspʌ	pʌkspʌ
Backstrom-1992-210b-20	Balti-20	bone	ruspʌ	ruspʌ	ruspʌ	ruspɑ	ruspʌ	ruspʌ	ruspʌ
Backstrom-1992-210b-21	Balti-21	heart	sniŋ	n̥iŋ / sniŋ	sniŋ	sniŋ	sniŋ	sniŋ	sniŋ
Backstrom-1992-210b-22	Balti-22	blood	č̣ʌq	č̣ʌq	č̣ʌq / ṣ̌ʌq	č̣ʌq	kʰrʌq	kʰrʌq	kʰrʌq
Backstrom-1992-210b-23	Balti-23	urine	xčin	xčɪn	xčɪn	xčin	xčin	ɬčin	xčin
Backstrom-1992-210b-24	Balti-24	feces	kʸʌkpʌ	kʸɑkpʌ	kʸʌkpʌ	kʸʌkpʌ / ṣ̌kʸʌkpʌ	kʸʌkpʌ	ɬkʸʌkpʌ	kʸʌkpʌ
Backstrom-1992-210b-25	Balti-25	village	ẓ̌oŋ	ǰ̣oŋ	ǰ̣oŋ / gʊroŋ	groŋ	gᶷroŋ	gᶷroŋ	yul
Backstrom-1992-210b-26	Balti-26	house	nʌŋ	nʌŋ	nʌŋ	nʌŋ	nʌŋ	nʌŋ	nʌŋ
Backstrom-1992-210b-27	Balti-27	roof	hʌndoq	hʌndoq	hʌndoq	hʌndoq	hʌndoq	tʰoqsɑ	hɑndoq
Backstrom-1992-210b-28	Balti-28	door	zgo	zgo	zgo	zgo	zgo	zgo	zgo
Backstrom-1992-210b-29	Balti-29	firewood	šiŋ	šiŋ	šiŋ	pʰu šiŋ	šiŋ	pʰu šiŋ	šiŋ
Backstrom-1992-210b-30	Balti-30	broom	pʸʌxmʌ	pʸʌxmʌ	pʸʌxmʌ	pʸʌxmʌ	pʸʌxmʌ	pʸʌxmʌ	pɬʸʌxmʌ
Backstrom-1992-210b-31	Balti-31	mortar	ɬtʌnus	ɬtʌnʊs	ɬtʌnus	ɬtʌnus	ɬṭʌnʊs	ɬṭʌnʊs	xtun
Backstrom-1992-210b-32	Balti-32	pestle	ɬtʌnuse bu	ɬtʌnusi bu	ɬtʌnus bu	ɬtʌnus bu	bʊbu	ɬṭʌnʊsi bu	ɬtʌnus bu
Backstrom-1992-210b-33	Balti-33	hammer	hʌtʰoṛɑ	hʌtʰoṛɑ	hʌtʰoṛɑ	hʌtʰoṛɑ	hʌtʰoṛɑ	hʌtʰoṛɑ	hʌtʰoṛɑ
Backstrom-1992-210b-34	Balti-34	knife	ẓ̌i	ǰ̣i	ǰ̣i	ǰ̣i	ɣri	ɣri	gri
Backstrom-1992-210b-35	Balti-35	axe	stʌre	stʌre	stʌre	stʌre	stʌre	stʌre	stɑre
Backstrom-1992-210b-36	Balti-36	rope	tʰʌqpʌ	tʰɑqpʌ	tʰɑqpʌ	tʰʌqpɑ	tʰʌqpʌ	tʰɑqbɑ	tʰʌqpʌ
Backstrom-1992-210b-37	Balti-37	thread	skutpʌ	skutpʌ	skutpʌ	skutpɑ	skutpʌ	skutpɑ	skutbʌ
Backstrom-1992-210b-38	Balti-38	needle	kʰʌp	kʰʌp	kʰʌp	kʰʌp	kʰʌp	kʰʌp	kʰʌp
Backstrom-1992-210b-39	Balti-39	cloth	kʌpṛʌ	snʌmbu	rʌs	rʌs	rʌs / kʌpṛɑ	r̃ʌs	rʌs
Backstrom-1992-210b-40	Balti-40	ring	surʊp	xsurʊp	surʊp	surʊp	xsʊrup	surʊp	sɛbdrus
Backstrom-1992-210b-41	Balti-41	sun	ñimɑ	ñũŋɑ	ñimɑ	ñimɑ	ñimɑ	ñimɑ	ñimɑ
Backstrom-1992-210b-42	Balti-42	moon	ld͡zot	lzot	ld͡zoˑt	ld͡zot	ld͡zot	ld͡zot	ld͡zot
Backstrom-1992-210b-43	Balti-43	sky	snʌm	n̥ʌm	snʌm / xnʌm	xnʌm	xnʌm	xnʌm	snɑm
Backstrom-1992-210b-44	Balti-44	star	skʌrmɑ	skʌrmʌ	skʌrmʌ	skʌrmʌ	skʌrmʌ	skʌrmʌ	skɑrmɑ
Backstrom-1992-210b-45	Balti-45	rain	čʰʌrpɑ	čʰʌrɸʌ	čʰʌrfʌ	čʰʌrpʌ	čʰʌrɸɑ	čʰʌrpʌ	čʰɑrɸɑ
Backstrom-1992-210b-46	Balti-46	water	čʰu	čʰu	čʰu	čʰu	čʰu	čʰu	čʰu
Backstrom-1992-210b-47	Balti-47	river	rgʸɛmt͡so	rʸɣɛmt͡so	rgʸɛmt͡so	rgʸɛmt͡so	rgʸɛmt͡so	rgʸʌmt͡so	rgʸɛmt͡so
Backstrom-1992-210b-48	Balti-48	cloud	psɪl	psɪl	psɪl	psɪl	ɸsɪl	ɸsɪl	sɪl
Backstrom-1992-210b-49	Balti-49	lightning	ɬok	ɬok	ɬok	ɬok	ɬok	ɬok	ɬok
Backstrom-1992-210b-50	Balti-50	rainbow	pʌrʌkzʌ	pʌṛɑɣzɑ	pʰʌṛʌkzʌ	ɣzʌ	ɣzʌ	rzʌ	pɑrɑzwɑ
Backstrom-1992-210b-51	Balti-51	wind	ɬuŋ	xluŋ	xluŋ	xɬuŋ	xɬuŋ	ɬuŋ	ɬuŋ
Backstrom-1992-210b-52	Balti-52	stone	ᶷrdwɑ	ᶷrdwɑ	ᶷrdwɑ	ᶷrdwɑ	rdwɑ	rdwɑ	ᶷrdwɑ
Backstrom-1992-210b-53	Balti-53	path	lʌm	lʌm	lʌm	lʌm	lʌm	lʌm	lʌm
Backstrom-1992-210b-54	Balti-54	sand	bʸʌŋɑ	bʸʌŋɑ	bʸʌŋɑ	bʸʌŋʌ	bʸʌmʌ	bʸʌŋɑ	bʸʌŋɑ
Backstrom-1992-210b-55	Balti-55	fire	mɛ	me	me	me	mɛ	meˑ	mɛ
Backstrom-1992-210b-56	Balti-56	smoke	tutpʌ	tʰutpʌ	tutpʌ	tutpʌ	tutpʌ	tutpɑ	tutpʌ
Backstrom-1992-210b-57	Balti-57	ash	tʰʌlčɪt	tʰʌlčɪt	tʰʌlčɪt	tʰʌlt͡sir	tʰʌlbʌ	tʰʌlt͡sɪr	tʰʌlbʌ
Backstrom-1992-210b-58	Balti-58	mud	ǰʸɑgʌt	ǰɑgʌt / ǰɑlǰɪt	ǰɑgʌt / čʰɪn	lǰɑklǰɪt	čʰɪn	lʌmčʰʌr	ldok
Backstrom-1992-210b-59	Balti-59	dust	tʰʌldum	tʰʌldum / tʰʌlpʊṭ	tʰʌlpʊṭ	tʰʌldum	tʰʌldum	tʰʌldum	tʰʌldum
Backstrom-1992-210b-60	Balti-60	gold	xsɛr	xsɛr	xsɛr	xsɛr	xsɛr	sɛr	sɛr
Backstrom-1992-210b-61	Balti-61	tree	stɑɣži	stɑɣži	stʌqǰi	stɑqži	stɑɣži	stɑqži	stɑɣži
Backstrom-1992-210b-62	Balti-62	leaf	loŋɑ	loŋɑ	loŋɑ	luŋɑ	lomɑ	loŋɑ	lomɑ
Backstrom-1992-210b-63	Balti-63	root	rʌmpʌ	rʌmpʌ	rʌmpʌ	rʌmpɑ	rʌmpʌ	rʌmpɑ	rʌmpʌ
Backstrom-1992-210b-64	Balti-64	thorn	t͡sʰoq	t͡sʰoq	t͡sʰoq / riŋɑ	t͡sʰoq / riŋɑ	t͡sʰoq	riŋɑ	nɑxsɛr
Backstrom-1992-210b-65	Balti-65	flower	mɪndoq	mɛndoq	mɛndoq	mɪndoq	mɪndoq	mɪndoqʰ	mɛndoq
Backstrom-1992-210b-66	Balti-66	fruit	mewɑ / pʰʌxmul	pʰlʌxmul	mewɑ / pʰʌxmʊl	mewɑ	mewɑ / pʰʌxmul	mewɑ	kušučuli
Backstrom-1992-210b-67	Balti-67	mango	ɑm	ɑm	ɑm	ɑm	ɑm	ɑm	ɑm
Backstrom-1992-210b-69	Balti-68	wheat (husked)	č̣o	č̣o	č̣o	č̣o	kro	kro	kro
Backstrom-1992-210b-70	Balti-69	millet (husked)	čʰɑ	čʰɑ	čʰɑ	čʰɑ	čʰɑ	čʰɑ	čʰɑ
Backstrom-1992-210b-71	Balti-70	rice (husked)	blʌs	blʌs	blʌs	brʌs	brʌs	brʌs	brɑs
Backstrom-1992-210b-72	Balti-71	potato	ɑlu	ɑlu	ɑlu	ɑlu	ɑlu	ɑlu	ɑlu
Backstrom-1992-210b-73	Balti-72	eggplant	pɑɣʌn	bɛŋgʌn	ŋʌrmo pɑɣʌn	bɛŋgʌn	bɛŋgʌn		
Backstrom-1992-210b-75	Balti-73	chili	sñirmʌ	ñ̥ɛrmʌ / sñɛrmʌ	sñɛrmʌ	sñɛrmʌ	sñɛrmʌ	sñɛrmʌ	ñɛrmʌ
Backstrom-1992-210b-76	Balti-74	turmeric	yuŋ	yuŋ	yuŋ	yuŋ	yuŋ	yuŋ	yuŋ
Backstrom-1992-210b-77	Balti-75	garlic	zgokpʌ	zgokpʌ	zgokpʌ	zgokpɑ	zgokpʌ	zgokpɑ	zgokpʌ
Backstrom-1992-210b-78	Balti-76	onion	t͡soŋ	t͡soŋ	t͡soŋ	t͡soŋ	t͡soŋ	t͡sõŋ	t͡soŋ
Backstrom-1992-210b-79	Balti-77	cauliflower	kʌṛʌm	kʌṛʌm	kʌṛʌm	gobi	ɸulgobi	gobi	pʰulgobi
Backstrom-1992-210b-80	Balti-78	tomato	pɑɣʌn	pɑɣʌn	pɑɣʌn	pɑɣʌn	pɑɣʌm	pɑɣʌn	pɑɣʌn
Backstrom-1992-210b-81	Balti-79	cabbage	kʌṛʌm	kʌṛʌm	kʌṛʌm	bʌnd gobi	kʌṛʌm / bʌnd gobi	kʌṛʌm / bʌnd gobi	bʌnd gobi
Backstrom-1992-210b-82	Balti-80	oil	mɑr	mɑr	mɑr	mɑr	mɑr	mɑr	mɑr
Backstrom-1992-210b-83	Balti-81	salt	pɑyu	pɑyu	pɑyu	pɑyu	pɑyu	pɑyu	t͡sʰɑ
Backstrom-1992-210b-84	Balti-82	meat	šɑ	šʌ	šʌ	šʌ	šʌ	šɑ	šɑ
Backstrom-1992-210b-85	Balti-83	fat	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl
Backstrom-1992-210b-86	Balti-84	fish	ñʸɑ	ñʸɑ	ñʸɑ	ñʸɑ	ñʸɑ	ñʸɑ	ñʸɑ
Backstrom-1992-210b-87	Balti-85	chicken	bʸʌŋo	bʸʌŋo	bʸʌŋo	bʸʌŋo	bʸʌŋmo	bʸʌŋo	bʸʌŋo
Backstrom-1992-210b-88	Balti-86	egg	biʌpǰʊn	biʌpžʊn	biʌpžʊn	biʌmžʊn	biʌpžʊn	biʌpžʊn	tʰul
Backstrom-1992-210b-89	Balti-87	cow		bʌ	bʌ / bʌlʌŋ		bʌlʌŋ	bɑ	
Backstrom-1992-210b-91	Balti-88	milk	oŋɑ	oŋɑ	oŋɑ	omɑ	omʌ	oŋɑ	oŋmɑ
Backstrom-1992-210b-92	Balti-89	horns	rwɑ	rwɑ	rwɑ	rwɑ	rwɑ	rwɑ	rwɑ
Backstrom-1992-210b-93	Balti-90	tail	ǰindo	žɪndo	žɪndo	žɪndo	žɪgdo	sñʌmʌ	šñɑŋmɑ
Backstrom-1992-210b-94	Balti-91	female goat	rʌbʌq	rʌbʌq	rʌbʌq	rowɑq	rʌbʌq	rɑ	rɑ
Backstrom-1992-210b-95	Balti-92	dog	kʰi	kʰi	kʰi	kʰi	kʰi	kʰi	x̯i
Backstrom-1992-210b-96	Balti-93	snake	ᵒrbʊl	ᵒɣbʊl	ᵒɣbʊl	ᵒɣbʊl	ᶺɣbʊl	rbʊl	rzbul
Backstrom-1992-210b-97	Balti-94	monkey	šɛri	šɛdi	šɛdi / šɛri	šɛdi	šʌdi	šɛdi	šɑdi
Backstrom-1992-210b-98	Balti-95	mosquito	t͡sʌŋki	t͡sʌŋki	t͡sʌŋki	t͡sʌŋki	t͡sʌŋki	d͡zʌŋgi / pʰišo	d͡zʌŋgi
Backstrom-1992-210b-99	Balti-96	ant	č̣ɪmoq	č̣ɪmoq	č̣ɪmoq	kiŋboq	zbundʌk	kɪmboq	xɑrxʌṭʌ
Backstrom-1992-210b-100	Balti-97	spider	tɑxskʌn	tɑxskʌn	tɑkskʌn	tʌxskʌn	tɑkskʌn	tɑkskʌn	tɑxskʌn
Backstrom-1992-210b-101	Balti-98	name	mintʌx	mintʌx	mɛntʌx	mĩntʌx	mintʌx	mintʌx	mintʌks
Backstrom-1992-210b-102	Balti-99	man	mi	mi	mi	mi	mi	mi	mi
Backstrom-1992-210b-103	Balti-100	woman	bustriŋ	bustriŋ	bustriŋ	bʊstriŋ	bustriŋ	brustiŋ	bustriŋ
Backstrom-1992-210b-104	Balti-101	child		pl̥u	pl̥u	pʰru	pʰru	pʰru	pʰru
Backstrom-1992-210b-105	Balti-102	father	ɑtʌ	ɑtʌ	ɑtʌ	ʌtʌ	ʌtɑ	ʌtɑ	ʌtɑ
Backstrom-1992-210b-106	Balti-103	mother	ɑŋo	ɑŋo	ɑŋo	ɑŋo	ʌmo	ʌŋɑ	ʌmɑ
Backstrom-1992-210b-107	Balti-104	older brother	kʌkʌ	kʌkʌ	kʌkʌ	kʌkɑ	kʌkʌ	kʌkɑ	kɑɣɑ čoɣo
Backstrom-1992-210b-108	Balti-105	younger brother	pʰono	pʰono	pʰono	pʰono	pʰono	nono	nono
Backstrom-1992-210b-109	Balti-106	older sister	ɑše	ʌšɛ	ʌše	ɑše	ʌše	ʌše	ɑče
Backstrom-1992-210b-110	Balti-107	younger sister	striŋmo	striŋmo	striŋmo / noŋo	striŋmo	striŋmo	noŋo	nõŋo
Backstrom-1992-210b-111	Balti-108	son	bu / pl̥u	buʰ	bu	buʰ	buʰ	bu	pʰru
Backstrom-1992-210b-112	Balti-109	daughter	boŋo	boŋo	boŋo	boŋo	boŋo	boŋo	boŋo
Backstrom-1992-210b-113	Balti-110	husband	ʌšipʌ / dʌxpo	ʌšipɑ / dɑxɸo	ʌšipʌ / dʌxpo	ʌšipɑ / dɑxpo	ʌšipɑ	ʌšipɑ / dɑxpo	dɑkpo
Backstrom-1992-210b-114	Balti-111	wife	zʌnzʊs	zʌnzʊs	zʌnzʊs	nʌmɑ/zʌnzʊs/čʊŋmʌ	zʌnzus	zʌnzʊs / čʊŋmʌ	nɑmɑ
Backstrom-1992-210b-115	Balti-112	boy	pl̥u	pl̥u	pl̥u	buʰ	buʰ	bu	pʰru
Backstrom-1992-210b-116	Balti-113	girl	boŋo	boŋo	boŋo	boŋo	boŋo	boŋo	boŋo
Backstrom-1992-210b-117	Balti-114	day	žʌq	žʌq	žʌq	ǰʌq / žʌq	žʌq	žʌq	žʌq
Backstrom-1992-210b-118	Balti-115	night	t͡sʰʌn	t͡sʰʌn	t͡sʰʌn	t͡sʰʌn	t͡sʰʌn	t͡sʰʌn	t͡sʰʌn
Backstrom-1992-210b-119	Balti-116	morning	gʸoxpʌ	gʸʊxpʌ	gʸʊkspʌ / gʸʊxpʌ	gʸoxpɑ	gʸoxpʌ	gʸoxpɑ	motʊk
Backstrom-1992-210b-120	Balti-117	noon	trobɑr	trobʌr	trobʌr	čobʌr	trobʌr	trobʌr	trobɑr
Backstrom-1992-210b-121	Balti-118	afternoon(late)	fitro	pʰiro	pʰitro	pʰiro	pʰrido	pʰɪro	pʰitʰoq
Backstrom-1992-210b-122	Balti-119	yesterday	gʊnde	gunde	gunde	gunde	gʊnde	gonde	gʊnde
Backstrom-1992-210b-123	Balti-120	today	dᶦriŋ	dᶦriŋ	dᶦriŋ	dᶦriŋ	dᶦriŋ	dᶦriŋ	dᶦriŋ
Backstrom-1992-210b-124	Balti-121	tomorrow	hʌske	hʌske	hʌske	hʌske	hʌske	hʌske	tʰore
Backstrom-1992-210b-125	Balti-122	week	hʌftʌ	žɑbdun	hʌftʌ	hʌftɑ	hʌftɑ	žʌkᶷrdun	ᶷrdun
Backstrom-1992-210b-126	Balti-123	month	ld͡zɑ	lzɑ	lzɑ	ld͡zɑ	ld͡zɑ	ld͡zɑ	ld͡zɑ
Backstrom-1992-210b-127	Balti-124	year	lo	lo	lo	lo	lo	lo	loˑ
Backstrom-1992-210b-128	Balti-125	old	sñiŋmʌ	ñ̥iñmʌ / sñiñmʌ	sñiŋmʌ	sñĩŋmʌ	šñĩmʌ	ñ̥iñpɑ/hĩñpɑ/sñiñpɑ	sŋiŋmʌ
Backstrom-1992-210b-129	Balti-126	new	sʌrɸɑ	sʌrɸʌ	sʌrfʌ	sʌrpʌ	somɑ	soŋɑ	somɑ
Backstrom-1992-210b-130	Balti-127	good	lʸʌxmo	lʸʌxmo	lʸʌxmo	lʸʌxmo	lʸʌxmo	lʸʌxmo	lʸʌxmo
Backstrom-1992-210b-131	Balti-128	bad	čʸɑŋmɛn	čɑŋmɛn	čɑŋmɛn	čʌŋmɛn	čɑŋmɛn	čʌŋmɛn	stokpo
Backstrom-1992-210b-132	Balti-129	wet	šɛrɸɑ	xšɛrɸʌ	xšɛrɸʌ	šɪrpɑ	šʌšpʌ	šerpɑ	šerpɑ
Backstrom-1992-210b-133	Balti-130	dry	skʌmbo	skʌmbo	skʌmbo	skʌmbo	skʌmbo	skʌmbo	skʌmbo
Backstrom-1992-210b-134	Balti-131	long	riŋmo	riŋmo	riŋmo	riŋmo	rĩmo	riŋbo	riŋmo
Backstrom-1992-210b-135	Balti-132	short	čʌt	čʌt	čʌt	čʌt	čʌt	čʌtčʌt	čʌt
Backstrom-1992-210b-136	Balti-133	hot	t͡sʰo	t͡sʰo	t͡sʰo	t͡sʰo	t͡sʰo	t͡sʰo / tʰrʊnmo	ṭʰonmo
Backstrom-1992-210b-137	Balti-134	cold	ẓ̌ʌxmo	ǰ̣ʌxmo	ǰ̣ʌxmo	ǰ̣ʌxmo	grʌxmo	grʌxmo	grʌxmo
Backstrom-1992-210b-138	Balti-135	right	trʌŋ	trʌŋ	trʌŋ	čʌŋ	trʌŋ	trʌŋ	ṭɑŋ
Backstrom-1992-210b-139	Balti-136	left	xʸun	xɛn	xʸʊn	xɛn	xʸʊn	sñeñ	yun
Backstrom-1992-210b-140	Balti-137	near	ñimor	ñiŋor	ñimor	ñimor	ñimor	ñimor	ñimor̥
Backstrom-1992-210b-141	Balti-138	far	tʰʌqriŋ	tʰɑɣriŋ	tʰʌqriŋ	tʰʌxriŋ	tʰʌqriŋ	tʰʌqriŋ	tʰɑqriŋs
Backstrom-1992-210b-142	Balti-139	big	čoɣo	čoɣo	čoɣo	čoɣo	čoɣo	čoɣo	čoɣo
Backstrom-1992-210b-143	Balti-140	small	t͡sunt͡se	t͡sunt͡sɛ	t͡sunt͡se	t͡sunt͡se	t͡sumt͡se	t͡sunt͡se	t͡sumt͡se
Backstrom-1992-210b-144	Balti-141	heavy	ɬčʰo	ɬčʰo	ɬčʰo	ɬčʰo	ɬčʰo	ɬčʰo	ɬčinṭe
Backstrom-1992-210b-145	Balti-142	light	yɑŋmo	yɑŋmo	yɑŋmo	yʌŋmo	yɑ̃mo	yʌŋmo	yɑ̃mo
Backstrom-1992-210b-146	Balti-143	above	yɑr / tok	yɑr	yʌr / tok	tʸok	gʸʌ̃lʌ	gʸɛn	gʸʌ̃lʌ
Backstrom-1992-210b-147	Balti-144	below	tʰuru	tʰuru	tʰur	tʰoru	tʰuru	tʰur	tʰur̥
Backstrom-1992-210b-148	Balti-145	white	kɑrɸo	kɑrɸo	kɑrɸo	kɑrpo	kʌšpo	kɑrpo	kɑrɸo
Backstrom-1992-210b-149	Balti-146	black	nɑqpo	nɑqpo	nʌqpo	nɑqpo	nʌqpo	nɑqpo	nɑqpo
Backstrom-1992-210b-150	Balti-147	red	mɑrɸo	mɑrɸo	mɑrɸo	mɑrpo	mʌšpo	mɑr̥po	mɑrpo
Backstrom-1992-210b-151	Balti-148	one	čɪk	čik	čik	čɪk	čɪk	čik	čik
Backstrom-1992-210b-152	Balti-149	two	ñis	ñis	ñɪs	ñis	ñɪs	ñis	ñis
Backstrom-1992-210b-153	Balti-150	three	sum	xsum	sum	sum	sum	sum	sum
Backstrom-1992-210b-154	Balti-151	four	βži	bži	bži	bži	bži	ži	βži
Backstrom-1992-210b-155	Balti-152	five	ɣɑ	ᶺɣɑ	ɣɑ	ɣɑ	ɣɑ	ɣɑ	šŋɑ
Backstrom-1992-210b-156	Balti-153	six	truk	truk	truk	čuk	trukʰ	truk	ṭuk
Backstrom-1992-210b-157	Balti-154	seven	βdun	βdun	bdun	bdun	ᶷbdun	rdun	ᶷrdun
Backstrom-1992-210b-158	Balti-155	eight	gʸʌt	βgʸɛt	gʸɛt	bgʸʌt	βgʸʌt	rgʸɛt	rgʸɛt
Backstrom-1992-210b-159	Balti-156	nine	ᶷrgu	ᶷrgo	rgu	ᶷrgo	rgu	rgu	rgu
Backstrom-1992-210b-160	Balti-157	ten	ɸču	ɸču	pšču	ɸču	ɸču	hču	hsču
Backstrom-1992-210b-161	Balti-158	eleven	čusčɪk	čusčik	čusčik	čusčɪk	čusčɪk	čusčɪk	čusčik
Backstrom-1992-210b-162	Balti-159	twelve	čoŋʌs	čoŋʌs	čoŋʌs	čoŋʌs	čoŋʌs	čoŋɛs	čoŋʌs
Backstrom-1992-210b-163	Balti-160	twenty	ñišu	ñišu	ñišu	ñišu	ñišu	ñišu	ŋišu
Backstrom-1992-210b-164	Balti-161	one-hundred	βgʸʌ	βgʸʌ	bgʸʌ	bgʸʌ	βgʸʌ	rgʸɑ	rgʸʌ
Backstrom-1992-210b-165	Balti-162	who	su	su	su	su	su	su	su
Backstrom-1992-210b-166	Balti-163	what	či	či	či	či	či	či	či
Backstrom-1992-210b-167	Balti-164	where	gɑr	gɑr	gɑr	gɑ	gɑr	gɑr	gɑr
Backstrom-1992-210b-168	Balti-165	when	nɑm	nɑm	nɑm	nɑm	nɑm	nɑm	nɑm
Backstrom-1992-210b-169	Balti-166	how many	t͡sɑm	t͡sɑm	t͡sɑm	t͡sɑmt͡se	t͡sɑm	t͡sɑmt͡se	t͡sɑm
Backstrom-1992-210b-170	Balti-167	which	gᶺo	goˑ	goˑ	go	gᶺo	goˑ	go
Backstrom-1992-210b-171	Balti-168	this	dʸu	dʸu	dʸu	dʸu	yo	dʸu	dʸu
Backstrom-1992-210b-172	Balti-169	that	do	do	do	do	do	do	eo
Backstrom-1992-210b-173	Balti-170	these	dʸuŋ	di / dʸu	di / dʸuŋ	dʸun	di	dʸun	dʸu
Backstrom-1992-210b-174	Balti-171	those	doŋ	doŋ	doŋ / de	dɛn	de	don	de
Backstrom-1992-210b-175	Balti-172	same	t͡soxsɑt͡soxs	t͡soqsɑt͡soqs	t͡soqsɑt͡soqs	t͡soxt͡sox	t͡soqsɑt͡soqs	t͡soxsɑt͡sox	t͡soqsɑt͡soqs
Backstrom-1992-210b-176	Balti-173	different	loxso	loxso	loxso	loxso	loxso	loxso / promʌčɪk	loxso
Backstrom-1992-210b-178	Balti-174	broken	čʰʌqpo	čʰʌqpo / čʰʌxs	čʰʌqpo	čʰʌqpo	čʰʌq	čʰʌqs / čʰʌxs	čʰʌqpo
Backstrom-1992-210b-180	Balti-175	many	ʌšin	išɪn	išɪn	ɪšɪn / ɬṭim	ɪšɪn	motpo / ɬtim / ɑliŋ	mɑŋmo
Backstrom-1992-210b-181	Balti-176	all	gɑ̃ŋmʌ	gɑŋmʌ	gɑŋmʌ	gɑŋmɑ	gɑ̃mɑ	gɑŋmɑ	gɑŋmɑ
Backstrom-1992-210b-182	Balti-177	(he) ate	zʊs	zʊs	zʊs	zʊs	zʊs	zos	zos
Backstrom-1992-210b-183	Balti-178	(the dog) bit	kʰʌktʌts	čʌts / kʰɑktʌts	kʰʌktʌts / sotʌps	čʌts / sʊtʊps	čʌts	čʌts	tʰʌmps
Backstrom-1992-210b-184	Balti-179	(he was) hungry	ɬtoks	ɬtoks	ɬtoks	ɬtoks	ɬtoks	ɬtoks	ɬtoks
Backstrom-1992-210b-185	Balti-180	(he) drank	tʰũŋs	tʰũs	tʰũŋs	tʰũs	tʰũs	tʰũŋs	tʰũs
Backstrom-1992-210b-186	Balti-181	(he was) thirsty	skoms	skoms	skoms	skoms	skoms	skoms	skoms
Backstrom-1992-210b-187	Balti-182	(he) slept	ŋĩtʌ̃s	ñĩtʔõs / ñĩtɑ̃s	ñĩtʌ̃s	ŋĩtõs	ŋĩtɑ̃s	ŋĩtɑ̃s	ŋĩtɑ̃s
Backstrom-1992-210b-188	Balti-183	(he) lay down	rɪls	prɛlɑ	rɪls	prɛlɑ	rɪle	prɛtlɑ	ɬuŋsoyʌt
