ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source_ID,List_ID,List_Name,Location,Note
Bunji,Bunji,bunj1245,Bunji,,Eurasia,,,Indo-European,BUN,F,Shina,"Bunji Shina, Bunji",
Rondu,Rondu,rond1238,Rondu,,Eurasia,,,Indo-European,RON,F,Shina,"Rondu Shina, Sabsar Drot in Rondu",
Gahorabad,Gahorabad,,,,,36.098361,73.975326,Indo-European,GOH,F,Shina,"Goharabad Shina, Goharabad near Chilas",Coordinates were retrieved from epsg.io
DashkinAstor,Dashkin (Astor),,,,,35.476599,74.774062,Indo-European,DSH,F,Shina,"Dashkin Shina, Dashkin in lower Astor",Coordinates were retrieved from epsg.io
Astor,Astor,asto1243,Astor,,Eurasia,,,Indo-European,AST,F,Shina,"Astor Shina, Center Astor Valley",
KachuraJel,Kachura (Jel),,,,,35.439487,75.449668,Indo-European,KAC,F,Shina,"Kachura Shina, Jel (Tsok) in Kachura Valley",Coordinates were retrieved from epsg.io
Satpara,Satpara,satp1241,Satpara,,Eurasia,,,Indo-European,SAT,F,Shina,"Satpara Shina, Satpara (Saspur) Valley",
Gultari,Gultari,,,,,34.660371,75.539611,Indo-European,GUL,F,Shina,"Gultari Shina, Bunial in Gultari",Coordinates were retrieved from epsg.io
Kharmang,Kharmang,khar1285,Kharmangi,,Eurasia,,,Indo-European,KRM,F,Shina,"Kharmang Shina, Tarkati in Kharmang",
Dras,Dras,dras1242,Dras,,Eurasia,34.4478362,75.5947267,Indo-European,DRS,F,Shina,"Dras Shina, Bhimbhat in Dras (India)",
ChilasKhinar,Chilas (Khinar),chil1277,Chilas,,Eurasia,,,Indo-European,CHK,F,Shina,"Chilas Shina, Khinar in Tok Nala in Chilas",
ChilasJelil,Chilas (Jelil),chil1277,Chilas,,Eurasia,,,Indo-European,CHJ,F,Shina,"Chilas Shina, Jelil in Chilas",
Darel,Darel,dare1241,Darel,,Eurasia,,,Indo-European,DAR,F,Shina,"Darel Shina, Gayal and Samegal in Darel",
Tangir,Tangir,tang1331,Tangir,,Eurasia,,,Indo-European,TAN,F,Shina,"Tangir Shina, Gabbar in Tangir",
Sazin,Sazin,sazi1238,Sazin,,Eurasia,,,Indo-European,SAZ,F,Shina,"Sazin Shina, Sazin",
Harban,Harban,harb1238,Harban,,Eurasia,,,Indo-European,HAR,F,Shina,"Harban Shina, Ting in Harban",
Jalkot,Jalkot,jalk1241,Jalkoti,,Eurasia,,,Indo-European,JAL,F,Shina,"Jalkot Shina, Uchar Nalla in Jalkot",
Palas,Palas,pala1333,Palasi,,Eurasia,,,Indo-European,PAL,F,Shina,"Palas Shina, Palas",
Kolai,Kolai,kola1284,Kolai,,Eurasia,,,Indo-European,KOL,F,Shina,"Kolai Shina, Mahrin in Kolai",
